"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_Cherry_MX_1.00u_PCB";1;"Macro1";;;
2;"SW4";"SW_Cherry_MX_1.00u_PCB";1;"Macro4";;;
3;"SW2";"SW_Cherry_MX_1.00u_PCB";1;"Macro2";;;
4;"SW3";"SW_Cherry_MX_1.00u_PCB";1;"Macro3";;;
5;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
6;"C4,C2,C3,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
7;"R6,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
8;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
9;"R5,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
10;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"60@100MHz";;;
11;"D4,D3,D1,D2";"D_SOD-123";4;"D";;;
12;"SW5";"SW_SPST_SKQG_WithStem";1;"PUSH_RESET";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"XTAL";;;
14;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
15;"U2";"SOT143B";1;"PRTR5V0U2X";;;
16;"C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
17;"J1";"Reset_Pretty-Mask";1;"AVR-ISP-6";;;
18;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
19;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
20;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
